MEAS_DT,TAG_CD,MEAS_VAL,STATUS
2026-04-08,MTR-21A09-CNV01-VEL,2.138636,GOOD
2026-04-08,MTR-21A12-CNV01-ACC,0.2263126,GOOD
2026-04-08,MTR-21A12-CNV01-ENV,0.2665043,GOOD
2026-04-08,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-08,MTR-21A12-CNV01-VEL,0.2866154,GOOD
2026-04-08,MTR-22B01-CNV01-ACC,8.142359,GOOD
2026-04-08,MTR-22B01-CNV01-ENV,5.594202,GOOD
2026-04-08,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-08,MTR-22B01-CNV01-VEL,2.118891,GOOD
2026-04-08,MTR-22B09-CNV01-ACC,11.87857,GOOD
2026-04-08,MTR-22B09-CNV01-ENV,11.84234,GOOD
2026-04-08,MTR-22B09-CNV01-STATUS,0,GOOD
2026-04-08,MTR-22B09-CNV01-VEL,9.591642,GOOD
2026-04-08,MTR-22B12-CNV01-ACC,11.35964,GOOD
2026-04-08,MTR-22B12-CNV01-ENV,4.132624,GOOD
2026-04-08,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-08,MTR-22B12-CNV01-VEL,1.822351,GOOD
2026-04-09,MTR-21A01-CNV01-ACC,8.607752,GOOD
2026-04-09,MTR-21A01-CNV01-ENV,4.248743,GOOD
2026-04-09,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-09,MTR-21A01-CNV01-VEL,2.118891,GOOD
2026-04-09,MTR-21A09-CNV01-ACC,12.99155,GOOD
2026-04-09,MTR-21A09-CNV01-ENV,12.0987,GOOD
2026-04-09,MTR-21A09-CNV01-STATUS,0,GOOD
2026-04-09,MTR-21A09-CNV01-VEL,7.083623,GOOD
2026-04-09,MTR-21A12-CNV01-ACC,0.3870487,GOOD
2026-04-09,MTR-21A12-CNV01-ENV,0.2665043,GOOD
2026-04-09,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-09,MTR-21A12-CNV01-VEL,0.2866154,GOOD
2026-04-09,MTR-22B01-CNV01-ACC,7.431147,GOOD
2026-04-09,MTR-22B01-CNV01-ENV,5.594202,GOOD
2026-04-09,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-09,MTR-22B01-CNV01-VEL,1.96084,GOOD
2026-04-09,MTR-22B09-CNV01-ACC,11.17007,GOOD
2026-04-09,MTR-22B09-CNV01-ENV,8.942747,GOOD
2026-04-09,MTR-22B09-CNV01-STATUS,0,GOOD
2026-04-09,MTR-22B09-CNV01-VEL,3.860289,GOOD
2026-04-09,MTR-22B12-CNV01-ACC,11.68536,GOOD
2026-04-09,MTR-22B12-CNV01-ENV,4.51919,GOOD
2026-04-09,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-09,MTR-22B12-CNV01-VEL,2.059656,GOOD
2026-04-10,MTR-21A01-CNV01-ACC,8.737696,GOOD
2026-04-10,MTR-21A01-CNV01-ENV,4.190699,GOOD
2026-04-10,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-10,MTR-21A01-CNV01-VEL,2.256983,GOOD
2026-04-10,MTR-21A09-CNV01-ACC,12.8492,GOOD
2026-04-10,MTR-21A09-CNV01-ENV,12.51775,GOOD
2026-04-10,MTR-21A09-CNV01-STATUS,0,GOOD
2026-04-10,MTR-21A09-CNV01-VEL,11.28276,GOOD
2026-04-10,MTR-21A12-CNV01-ACC,0.6076298,GOOD
2026-04-10,MTR-21A12-CNV01-ENV,0.8077335,GOOD
2026-04-10,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-10,MTR-21A12-CNV01-VEL,0.6076298,GOOD
2026-04-10,MTR-22B01-CNV01-ACC,6.753016,GOOD
2026-04-10,MTR-22B01-CNV01-ENV,5.192347,GOOD
2026-04-10,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-10,MTR-22B01-CNV01-VEL,1.941065,GOOD
2026-04-10,MTR-22B09-CNV01-ACC,11.27935,GOOD
2026-04-10,MTR-22B09-CNV01-ENV,9.499174,GOOD
2026-04-10,MTR-22B09-CNV01-STATUS,0,GOOD
2026-04-10,MTR-22B09-CNV01-VEL,4.210661,GOOD
2026-04-10,MTR-22B12-CNV01-ACC,11.52261,GOOD
2026-04-10,MTR-22B12-CNV01-ENV,5.441278,GOOD
2026-04-10,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-10,MTR-22B12-CNV01-VEL,2.118891,GOOD
2026-04-11,MTR-21A01-CNV01-ACC,8.737696,GOOD
2026-04-11,MTR-21A01-CNV01-ENV,4.538477,GOOD
2026-04-11,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-11,MTR-21A01-CNV01-VEL,2.49328,GOOD
2026-04-11,MTR-21A09-CNV01-ACC,12.7886,GOOD
2026-04-11,MTR-21A09-CNV01-ENV,12.44247,GOOD
2026-04-11,MTR-21A09-CNV01-STATUS,0,GOOD
2026-04-11,MTR-21A09-CNV01-VEL,10.72924,GOOD
2026-04-11,MTR-21A12-CNV01-ACC,0.8876896,GOOD
2026-04-11,MTR-21A12-CNV01-ENV,1.980616,GOOD
2026-04-11,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-11,MTR-21A12-CNV01-VEL,1.007471,GOOD
2026-04-11,MTR-22B01-CNV01-ACC,5.994562,GOOD
2026-04-11,MTR-22B01-CNV01-ENV,4.731226,GOOD
2026-04-11,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-11,MTR-22B01-CNV01-VEL,1.604364,GOOD
2026-04-11,MTR-22B09-CNV01-ACC,0.3468876,GOOD
2026-04-11,MTR-22B09-CNV01-ENV,0.3066959,GOOD
2026-04-11,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-11,MTR-22B09-CNV01-VEL,0.1860905,GOOD
2026-04-11,MTR-22B12-CNV01-ACC,12.33395,GOOD
2026-04-11,MTR-22B12-CNV01-ENV,10.94207,GOOD
2026-04-11,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-11,MTR-22B12-CNV01-VEL,4.151972,GOOD
2026-04-12,MTR-21A01-CNV01-ACC,8.886042,GOOD
2026-04-12,MTR-21A01-CNV01-ENV,8.737696,GOOD
2026-04-12,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-12,MTR-21A01-CNV01-VEL,4.538477,GOOD
2026-04-12,MTR-21A09-CNV01-ACC,16.00458,GOOD
2026-04-12,MTR-21A09-CNV01-ENV,14.93756,GOOD
2026-04-12,MTR-21A09-CNV01-STATUS,0,GOOD
2026-04-12,MTR-21A09-CNV01-VEL,10.38925,GOOD
2026-04-12,MTR-21A12-CNV01-ACC,3.257593,GOOD
2026-04-12,MTR-21A12-CNV01-ENV,1.326258,GOOD
2026-04-12,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-12,MTR-21A12-CNV01-VEL,0.747736,GOOD
2026-04-12,MTR-22B01-CNV01-ACC,5.019648,GOOD
2026-04-12,MTR-22B01-CNV01-ENV,4.268091,GOOD
2026-04-12,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-12,MTR-22B01-CNV01-VEL,1.663874,GOOD
2026-04-12,MTR-22B09-CNV01-ACC,0.1257267,GOOD
2026-04-12,MTR-22B09-CNV01-ENV,0.1257267,GOOD
2026-04-12,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-12,MTR-22B09-CNV01-VEL,0.1860905,GOOD
2026-04-12,MTR-22B12-CNV01-ACC,12.42376,GOOD
2026-04-12,MTR-22B12-CNV01-ENV,11.19643,GOOD
2026-04-12,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-12,MTR-22B12-CNV01-VEL,4.345423,GOOD
2026-04-13,MTR-21A01-CNV01-ACC,8.811884,GOOD
2026-04-13,MTR-21A01-CNV01-ENV,4.846674,GOOD
2026-04-13,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-13,MTR-21A01-CNV01-VEL,2.237268,GOOD
2026-04-13,MTR-21A09-CNV01-ACC,13.82067,GOOD
2026-04-13,MTR-21A09-CNV01-ENV,13.60848,GOOD
2026-04-13,MTR-21A09-CNV01-STATUS,0,GOOD
2026-04-13,MTR-21A09-CNV01-VEL,12.73922,GOOD
2026-04-13,MTR-21A12-CNV01-ACC,4.44198,GOOD
2026-04-13,MTR-21A12-CNV01-ENV,2.020136,GOOD
2026-04-13,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-13,MTR-21A12-CNV01-VEL,1.02743,GOOD
2026-04-13,MTR-22B01-CNV01-ACC,3.919397,GOOD
2026-04-13,MTR-22B01-CNV01-ENV,3.608484,GOOD
2026-04-13,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-13,MTR-22B01-CNV01-VEL,1.44552,GOOD
